bee,bee_family,bee_rank,plant,plant_common_name,plant_family,source_backed_rows,near_local_rows,within150_rows,direct_visit_feeding_rows,general_association_rows,weak_nearby_rows,interaction_types,top_localities
Megachile parallela,Megachilidae,species,Rudbeckia hirta var. pulcherrima,,Asteraceae,1,0,1,0,1,0,interactsWith:1,Goliad:1
Megachile parallela,Megachilidae,species,Viguiera dentata,toothleaf goldeneye,Asteraceae,2,0,2,2,0,0,eats:1; visits:1,
Megachile parksi,Megachilidae,species,Tephrosia virginiana,goat’s-rue,Fabaceae,1,1,1,0,1,0,interactsWith:1,McDade:1
Megachile policaris,Megachilidae,species,Bahia,,Asteraceae,1,0,1,0,1,0,interactsWith:1,Davis Mountains:1
Megachile policaris,Megachilidae,species,Cirsium,thistle,Asteraceae,2,0,2,0,2,0,interactsWith:2,Harper:2
Megachile policaris,Megachilidae,species,Cirsium altissimum,,Asteraceae,1,1,1,0,1,0,interactsWith:1,Austin:1
Megachile policaris,Megachilidae,species,Cirsium texanum,Texas thistle,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Megachile policaris,Megachilidae,species,Coreopsis tinctoria,plains coreopsis,Asteraceae,2,0,2,0,2,0,interactsWith:2,Kerrville:2
Megachile policaris,Megachilidae,species,Gaillardia suavis,perfumeball / pincushion daisy,Asteraceae,20,0,20,0,20,0,interactsWith:20,Harper:20
Megachile policaris,Megachilidae,species,Helenium amarum var. badium,bitter sneezeweed,Asteraceae,4,4,4,0,4,0,interactsWith:4,
Megachile policaris,Megachilidae,species,Helenium autumnale,common sneezeweed,Asteraceae,3,3,3,0,3,0,interactsWith:3,Johnson City:3
Megachile policaris,Megachilidae,species,Helianthus annuus,common sunflower,Asteraceae,4,4,4,0,4,0,interactsWith:4,
Megachile policaris,Megachilidae,species,Heliopsis parvifolia,,Asteraceae,1,0,0,0,1,0,interactsWith:1,Sonora:1
Megachile policaris,Megachilidae,species,Marrubium vulgare,horehound,Lamiaceae,4,0,4,0,4,0,interactsWith:4,United States of America:4
Megachile policaris,Megachilidae,species,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,2,2,2,0,2,0,interactsWith:2,
Megachile policaris,Megachilidae,species,Oncidium ensatum,,Orchidaceae,2,2,2,0,2,0,interactsWith:2,
Megachile policaris,Megachilidae,species,Opuntia,prickly pear,Cactaceae,3,1,3,0,3,0,interactsWith:3,"Giddings, 7 mi SW:1; Harper:1; Bastrop State Park:1"
Megachile policaris,Megachilidae,species,Phacelia,phacelia,Hydrophyllaceae,8,0,7,0,8,0,interactsWith:8,"Kerrville, 10 mi N:6; Concan, 8 mi S:1; Sonora:1"
Megachile policaris,Megachilidae,species,Plectocephalus americanus,,Asteraceae,1,0,1,0,1,0,interactsWith:1,Weser:1
Megachile policaris,Megachilidae,species,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,2,0,1,0,2,0,interactsWith:2,Sonora:1; Weser:1
Megachile policaris,Megachilidae,species,Rudbeckia hirta,black-eyed Susan,Asteraceae,1,1,1,0,1,0,interactsWith:1,Bastrop State Park:1
Megachile policaris,Megachilidae,species,Salix,willow,Salicaceae,1,1,1,0,1,0,interactsWith:1,Luling:1
Megachile policaris,Megachilidae,species,Salvia farinacea,mealy blue sage,Lamiaceae,2,0,2,0,2,0,interactsWith:2,United States of America:2
Megachile policaris,Megachilidae,species,Vitex,vitex / chaste tree group,Lamiaceae,5,5,5,0,5,0,interactsWith:5,"Georgetown, 5 mi S:5"
Megachile pugnata,Megachilidae,species,Marrubium vulgare,horehound,Lamiaceae,1,0,1,0,1,0,interactsWith:1,Kerrville:1
Megachile rugifrons,Megachilidae,species,Opuntia,prickly pear,Cactaceae,4,4,4,0,4,0,interactsWith:4,Bastrop:4
Megachile rugifrons,Megachilidae,species,Tephrosia virginiana,goat’s-rue,Fabaceae,6,6,6,0,6,0,interactsWith:6,McDade:6
Megachile sculpturalis,Megachilidae,species,Wisteria,,Fabaceae,1,1,1,1,0,0,visitsFlowersOf:1,
Megachile snowi,Megachilidae,species,Melilotus officinalis,,Fabaceae,1,1,1,0,1,0,interactsWith:1,Bastrop State Park:1
Megachile snowi,Megachilidae,species,Tephrosia virginiana,goat’s-rue,Fabaceae,1,1,1,0,1,0,interactsWith:1,McDade:1
Melissodes,Apidae,genus,Solidago,goldenrod,Asteraceae,1,0,1,0,1,0,interactsWith:1,"TTU Center, Junction:1"
Melissodes bimaculatus,Apidae,species,Berlandiera pumila,,Asteraceae,2,0,2,2,0,0,eats:1; visits:1,
Melissodes bimaculatus,Apidae,species,Delphinium ajacis,,Ranunculaceae,1,1,1,0,1,0,interactsWith:1,
Melissodes bimaculatus,Apidae,species,Ipomoea cordatotriloba,,Convolvulaceae,2,2,2,0,2,0,interactsWith:2,
Melissodes bimaculatus,Apidae,species,Ludwigia octovalvis,,Onagraceae,1,1,1,1,0,0,visitsFlowersOf:1,
Melissodes bimaculatus,Apidae,species,Lygodesmia texana,,Compositae,2,2,2,0,2,0,interactsWith:2,
Melissodes bimaculatus,Apidae,species,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,6,6,6,0,6,0,interactsWith:6,
Melissodes bimaculatus,Apidae,species,Vitex agnus-castus,chaste tree,Lamiaceae,1,1,1,0,1,0,interactsWith:1,
Melissodes communis communis,Apidae,subspecies,Cirsium,thistle,Asteraceae,1,0,1,0,1,0,interactsWith:1,Weser:1
Melissodes communis communis,Apidae,subspecies,Convolvulus,,Convolvulaceae,5,0,5,0,5,0,interactsWith:5,"Goliad:4; Goliad, 16 mi E:1"
Melissodes communis communis,Apidae,subspecies,Dalea pogonathera,,Fabaceae,1,0,1,0,1,0,interactsWith:1,"Ft. Davis, 46 mi NE:1"
Melissodes communis communis,Apidae,subspecies,Mimosa,sensitive-briar / mimosa group,Fabaceae,3,0,0,0,3,0,interactsWith:3,Sonora:3
Melissodes communis communis,Apidae,subspecies,Opuntia,prickly pear,Cactaceae,1,1,1,0,1,0,interactsWith:1,Bastrop:1
Melissodes communis communis,Apidae,subspecies,Teucrium,,Lamiaceae,1,0,1,0,1,0,interactsWith:1,Weser:1
Melissodes coreopsis,Apidae,species,Cirsium,thistle,Asteraceae,2,2,2,0,2,0,interactsWith:2,Austin:2
Melissodes coreopsis,Apidae,species,Cirsium texanum,Texas thistle,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Melissodes coreopsis,Apidae,species,Haplopappus,,Asteraceae,2,0,2,0,2,0,interactsWith:2,"Ft. Davis, 41 mi NE:2"
Melissodes coreopsis,Apidae,species,Oncidium ensatum,,Orchidaceae,2,2,2,0,2,0,interactsWith:2,
Melissodes coreopsis,Apidae,species,Opuntia engelmannii,Engelmann prickly pear,Cactaceae,2,2,2,0,2,0,interactsWith:2,
Melissodes coreopsis,Apidae,species,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,6,6,6,0,6,0,interactsWith:6,
Melissodes coreopsis,Apidae,species,Rudbeckia hirta,black-eyed Susan,Asteraceae,6,6,6,0,6,0,interactsWith:6,
Melissodes coreopsis,Apidae,species,Solanum elaeagnifolium,silverleaf nightshade,Solanaceae,2,2,2,0,2,0,interactsWith:2,
Melissodes coreopsis,Apidae,species,Zephyranthes drummondii,,Amaryllidaceae,8,0,8,0,8,0,interactsWith:8,Harper:8
Melissodes gelidus,Apidae,species,Ratibida,,Asteraceae,1,0,1,0,1,0,interactsWith:1,Dalhart:1
Melissodes gilensis gilensis,Apidae,subspecies,Opuntia phaeacantha,brown-spined prickly pear,Cactaceae,2,0,2,0,2,0,interactsWith:2,Davis Mountain State Park:2
Melissodes gilensis gilensis,Apidae,subspecies,Salix,willow,Salicaceae,1,0,1,0,1,0,interactsWith:1,Davis Mountains:1
Melissodes intortus,Apidae,species,Callirhoe,winecup / poppymallow,Malvaceae,6,0,6,0,6,0,interactsWith:6,Harper:6
Melissodes intortus,Apidae,species,Callirhoe leiocarpa,,Malvaceae,1,0,1,0,1,0,interactsWith:1,Sweet Home:1
Melissodes montanus,Apidae,species,Helianthus annuus,common sunflower,Asteraceae,1,0,1,0,1,0,interactsWith:1,"Ft. Davis, 47 mi NE:1"
Melissodes opuntiellus,Apidae,species,Sphaeralcea,,Malvaceae,2,0,0,0,2,0,interactsWith:2,Sonora:2
Melissodes paroselae,Apidae,species,Pinaropappus roseus,,Asteraceae,2,0,2,0,2,0,interactsWith:2,United States of America:2
Melissodes rivalis,Apidae,species,Plectocephalus americanus,,Asteraceae,9,0,9,0,9,0,interactsWith:9,Weser:9
Melissodes tepaneca,Apidae,species,Baccharis,baccharis,Asteraceae,8,0,8,0,8,0,interactsWith:8,"San Antonio, Loop 13:8"
Melissodes tepaneca,Apidae,species,Brazoria truncata,,Lamiaceae,9,0,9,0,9,0,interactsWith:9,"Harper:8; Goliad, 16 mi E:1"
Melissodes tepaneca,Apidae,species,Cirsium,thistle,Asteraceae,2,1,2,0,2,0,interactsWith:2,Austin:1; Harper:1
Melissodes tepaneca,Apidae,species,Cirsium texanum,Texas thistle,Asteraceae,8,8,8,0,8,0,interactsWith:8,
Melissodes tepaneca,Apidae,species,Clematis,,Ranunculaceae,1,0,1,0,1,0,interactsWith:1,"Sarita, 5 km N:1"
Melissodes tepaneca,Apidae,species,Convolvulus equitans,,Convolvulaceae,2,2,2,0,2,0,interactsWith:2,
Melissodes tepaneca,Apidae,species,Coreopsis tinctoria,plains coreopsis,Asteraceae,2,0,2,0,2,0,interactsWith:2,Kerrville:2
Melissodes tepaneca,Apidae,species,Helenium amarum var. badium,bitter sneezeweed,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Melissodes tepaneca,Apidae,species,Medicago,,Fabaceae,6,0,6,0,6,0,interactsWith:6,Harper:6
Melissodes tepaneca,Apidae,species,Oncidium ensatum,,Orchidaceae,2,2,2,0,2,0,interactsWith:2,
Melissodes tepaneca,Apidae,species,Opuntia,prickly pear,Cactaceae,19,0,18,0,19,0,interactsWith:19,"Harper:10; Giddings, 7 mi SW:7; Quemado:1"
Melissodes tepaneca,Apidae,species,Parkinsonia,palo verde group,Fabaceae,5,0,5,0,5,0,interactsWith:5,Sabinal:5
Melissodes tepaneca,Apidae,species,Penstemon,beardtongue,Plantaginaceae,1,0,1,0,1,0,interactsWith:1,Fredericksburg:1
