bee_name,bee_family,plant_name,plant_family
Protandrena abdominalis,Andrenidae,Monarda,
Protandrena verbesinae,Andrenidae,Baileya,Asteraceae
Pseudopanurgus aethiops,Andrenidae,Helianthus,Asteraceae
Pseudopanurgus albitarsis,Andrenidae,Baccharis,Asteraceae
Pseudopanurgus boylei,Andrenidae,Verbesina,Asteraceae
Pseudopanurgus compositarum,Andrenidae,Bidens,Asteraceae
Pseudopanurgus fraterculus,Andrenidae,Baileya,Asteraceae
Pseudopanurgus illinoiensis,Andrenidae,Erigeron,Asteraceae
Pseudopanurgus occiduus,Andrenidae,Heterotheca,Asteraceae
Pseudopanurgus passiflorae,Andrenidae,Passiflora,
Pseudopanurgus renimaculatus,Andrenidae,Baccharis,Asteraceae
Pseudopanurgus rugosus,Andrenidae,Bidens,Asteraceae
Ptilothrix bombiformis,Apidae,Hibiscus,
Ptilothrix chiricahua,Apidae,Kallstroemia,
Sphecodosoma beameri,Halictidae,Nama,
Sphecodosoma dicksoni,Halictidae,Nama,
Svastra aegis,Apidae,Balduina,Asteraceae
Svastra compta,Apidae,Oenothera,
Svastra duplocincta,Apidae,Ferocactus,
Svastra helianthelli,Apidae,Baileya,Asteraceae
Svastra machaerantherae,Apidae,Baccharis,Asteraceae
Svastra obliqua,Apidae,Borrichia,Asteraceae
Svastra petulca,Apidae,Coreopsis,Asteraceae
Svastra sabinensis,Apidae,Baccharis,Asteraceae
Svastra sila,Apidae,Psilostrophe,Psilostrophe
Svastra texana,Apidae,Chrysothamnus,Asteraceae
Syntrichalonia exquisita,Apidae,Helianthus,Asteraceae
Tetraloniella albata,Apidae,Dalea,Fabaceae
Tetraloniella fasciatella,Apidae,Salvia,
Tetraloniella lippiae,Apidae,Sphaeralcea,Malvaceae
Tetraloniella paenalbata,Apidae,Dalea,Fabaceae
Tetraloniella spissa,Apidae,Helianthus,Asteraceae
Trachusa bequaerti,Megachilidae,Dalea,Fabaceae
Trachusa larreae,Megachilidae,Larrea,
Trachusa zebrata,Megachilidae,Encelia,Asteraceae
Xenoglossa kansensis,Apidae,Cucurbita,
Xenoglossa patricia,Apidae,Cucurbita,
Xenoglossa strenua,Apidae,Cucurbita,
